road,id,model_type,name,lat,lon,length
N1,1000086,bridge,bridge 43,23.5304993,90.7731104,814
N1,1000087,link,link 44,23.5308049,90.7811104,892
N1,1000088,bridge,bridge 44,23.5312216,90.7895552,107
N1,1000089,link,link 45,23.531166,90.7907219,1402
N1,1000090,bridge,bridge 45,23.5308882,90.8041389,597
N1,1000091,link,link 46,23.5316382,90.8099167,1594
N1,1000092,bridge,bridge 46,23.5346663,90.8249716,405
N1,1000093,link,link 47,23.5344997,90.8287216,1367
N1,1000094,bridge,bridge 47,23.5270549,90.8391386,632
N1,1000095,link,link 48,23.523166,90.8438886,3064
N1,1000096,bridge,bridge 48,23.5133056,90.8703049,143
N1,1000097,link,link 49,23.5126667,90.871416,2714
N1,1000098,bridge,bridge 49,23.5056111,90.8958886,77
N1,1000099,link,link 50,23.5056389,90.8966108,1911
N1,1000100,bridge,bridge 50,23.50575,90.91525,88
N1,1000101,link,link 51,23.5057222,90.9160278,2273
N1,1000102,bridge,bridge 51,23.5038611,90.9371386,351
N1,1000103,link,link 52,23.5033611,90.93920800000001,10
N1,1000104,bridge,bridge 52,23.5028611,90.9412774,375
N1,1000105,link,link 53,23.5020278,90.9448886,2274
N1,1000106,bridge,bridge 53,23.4980552,90.9660278,182
N1,1000107,link,link 54,23.4972774,90.9674716,1694
N1,1000108,bridge,bridge 54,23.4951386,90.9829993,305
N1,1000109,link,link 55,23.4942497,90.985833,2801
N1,1000110,bridge,bridge 55,23.4890552,91.0120278,227
N1,1000111,link,link 56,23.488333,91.0140833,2933
N1,1000112,bridge,bridge 56,23.481166,91.0404441,140
N1,1000113,link,link 57,23.4814716,91.0419719,871
N1,1000114,bridge,bridge 57,23.4820827,91.0504167,128
N1,1000115,link,link 58,23.4821382,91.0516944,2944
N1,1000116,bridge,bridge 58,23.4770827,91.0789993,55
N1,1000117,link,link 59,23.4770271,91.0794716,2513
N1,1000118,bridge,bridge 59,23.4778604,91.1036111,486
N1,1000119,link,link 60,23.4779993,91.1055278,972
N1,1000120,bridge,bridge 60,23.4789438,91.1177216,27
N1,1000121,link,link 61,23.4789716,91.1179993,564
N1,1000122,bridge,bridge 61,23.4793327,91.1234716,435
N1,1000123,link,link 62,23.4800827,91.1276382,4303
N1,1000124,bridge,bridge 62,23.448833,91.1471386,233
N1,1000125,link,link 63,23.4469441,91.1481386,3155
N1,1000126,bridge,bridge 63,23.4235827,91.1629722,545
N1,1000127,link,link 64,23.4213604,91.167666,1566
N1,1000128,bridge,bridge 64,23.4131111,91.1846663,488
N1,1000129,link,link 65,23.4125,91.1893886,2072
N1,1000130,bridge,bridge 65,23.4100278,91.2090833,980
N1,1000131,link,link 66,23.4048056,91.2165278,171
N1,1000132,bridge,bridge 66,23.40375,91.2176382,828
N1,1000133,link,link 67,23.398213447804338,91.22288776581436,1010
N1,1000134,bridge,bridge 67,23.3914441,91.2293049,891
N1,1000135,link,link 68,23.38826355,91.23193005,10
N1,1000136,bridge,bridge 68,23.385083,91.2345552,15
N1,1000137,link,link 69,23.385027450000003,91.234583,10
N1,1000138,bridge,bridge 69,23.3849719,91.2346108,82
N1,1000139,link,link 70,23.3843886,91.2351108,897
N1,1000140,bridge,bridge 70,23.3779716,91.2403608,102
N1,1000141,link,link 71,23.377166,91.2409163,1170
N1,1000142,bridge,bridge 71,23.3683327,91.2471108,904
N1,1000143,link,link 72,23.3615278,91.2515556,365
