road,lat,lon,model_type,road_to,condition,length,id,name
N1,22.6494997,91.640833,link,,,478,1000355,link 178
N1,22.6489997,91.6411108,bridge,,A,462,1000356,bridge 174
N1,22.64713855,91.642083,link,,,462,1000357,link 179
N1,22.6452774,91.6430552,bridge,,A,469,1000358,bridge 175
N1,22.641583,91.6451108,link,,,1444,1000359,link 180
N1,22.6338608,91.6494719,bridge,,A,86,1000360,bridge 176
N1,22.6330827,91.649833,link,,,221,1000361,link 181
N1,22.6320271,91.6503889,bridge,,A,782,1000362,bridge 177
N1,22.62897155,91.6522639,link,,,782,1000363,link 182
N1,22.625916,91.6541389,bridge,,A,82,1000364,bridge 178
N1,22.6252216,91.6545278,link,,,301,1000365,link 183
N1,22.6234716,91.6553056,bridge,,A,332,1000366,bridge 179
N1,22.6220827,91.65583335,link,,,332,1000367,link 184
N1,22.6206938,91.6563611,bridge,,A,163,1000368,bridge 180
N1,22.62009655,91.656625,link,,,163,1000369,link 185
N1,22.6194993,91.6568889,bridge,,A,272,1000370,bridge 181
N1,22.6185132,91.65756945,link,,,272,1000371,link 186
N1,22.6175271,91.65825,bridge,,B,91,1000372,bridge 182
N1,22.6169716,91.65875,link,,,106,1000373,link 187
N1,22.6168604,91.6588611,bridge,,A,611,1000374,bridge 183
N1,22.61462465,91.66054165,link,,,611,1000375,link 188
N1,22.6123889,91.6622222,bridge,,A,372,1000376,bridge 184
N1,22.6094444,91.6638333,link,,,444,1000377,link 189
N1,22.6088889,91.6641111,bridge,,A,951,1000378,bridge 185
N1,22.6015833,91.6688327,link,,,1081,1000379,link 190
N1,22.601,91.6692771,bridge,,A,115,1000380,bridge 186
N1,22.6005278,91.66961045,link,,,115,1000381,link 191
N1,22.6000556,91.6699438,bridge,,A,48,1000382,bridge 187
N1,22.59974985,91.67012435,link,,,48,1000383,link 192
N1,22.5994441,91.6703049,bridge,,A,681,1000384,bridge 188
N1,22.596833,91.672041,link,,,681,1000385,link 193
N1,22.5942219,91.6737771,bridge,,A,25,1000386,bridge 189
N1,22.5939997,91.6738327,link,,,432,1000387,link 194
N1,22.5907497,91.6754716,bridge,,C,757,1000388,bridge 190
N1,22.584583,91.6780827,link,,,873,1000389,link 195
N1,22.5836663,91.6784716,bridge,,A,368,1000390,bridge 191
N1,22.580666,91.6799438,link,,,700,1000391,link 196
N1,22.5779438,91.6811382,bridge,,A,182,1000392,bridge 192
N1,22.5763604,91.6818049,link,,,560,1000393,link 197
N1,22.5731938,91.6830827,bridge,,A,622,1000394,bridge 193
N1,22.5679716,91.6846941,link,,,800,1000395,link 198
N1,22.5664722,91.6851663,bridge,,A,275,1000396,bridge 194
N1,22.56530555,91.6855413,link,,,275,1000397,link 199
N1,22.5641389,91.6859163,bridge,,B,230,1000398,bridge 195
N1,22.56330555,91.68613855,link,,,230,1000399,link 200
N1,22.5624722,91.6863608,bridge,,C,316,1000400,bridge 196
N1,22.5594444,91.6872219,link,,,1399,1000401,link 201
N1,22.5503056,91.6902774,bridge,,A,855,1000402,bridge 197
N1,22.5438886,91.6945274,link,,,974,1000403,link 202
N1,22.5428608,91.6950274,bridge,,A,882,1000404,bridge 198
N1,22.5354997,91.6979441,link,,,972,1000405,link 203
N1,22.5347774,91.698333,bridge,,A,909,1000406,bridge 199
N1,22.5273049,91.7019444,link,,,1866,1000407,link 204
N1,22.519416,91.7053611,bridge,,A,82,1000408,bridge 200
N1,22.5187216,91.7055556,link,,,359,1000409,link 205
N1,22.5165556,91.7065833,bridge,,A,227,1000410,bridge 201
N1,22.5156389,91.70701385,link,,,227,1000411,link 206
N1,22.5147222,91.7074444,bridge,,A,193,1000412,bridge 202
N1,22.51393055,91.70776385,link,,,193,1000413,link 207
N1,22.5131389,91.7080833,bridge,,D,302,1000414,bridge 203
N1,22.5106111,91.7090833,link,,,447,1000415,link 208
N1,22.5094444,91.7096389,bridge,,A,251,1000416,bridge 204
N1,22.5084444,91.71009725,link,,,251,1000417,link 209
N1,22.5074444,91.7105556,bridge,,A,548,1000418,bridge 205
N1,22.5052222,91.7116806,link,,,548,1000419,link 210
N1,22.503,91.7128056,bridge,,A,56,1000420,bridge 206
N1,22.5025556,91.7130556,link,,,741,1000421,link 211
N1,22.4969163,91.7155556,bridge,,B,314,1000422,bridge 207
N1,22.494583,91.7170827,link,,,1201,1000423,link 212
N1,22.4869441,91.7192771,bridge,,A,174,1000424,bridge 208
N1,22.4854163,91.7195549,link,,,471,1000425,link 213
N1,22.48280707,91.720051,bridge,,A,600,1000426,bridge 209
N1,22.48016708,91.72055295,link,,,600,1000427,link 214
N1,22.4775271,91.7210549,bridge,,B,114,1000428,bridge 210
N1,22.4765271,91.7213327,link,,,997,1000429,link 215
N1,22.4694438,91.7250549,bridge,,A,135,1000430,bridge 211
N1,22.468416,91.7255827,link,,,1319,1000431,link 216
N1,22.4588333,91.7303604,bridge,,A,834,1000432,bridge 212
N1,22.4518235,91.7331283,link,,,1938,1000433,link 217
N1,22.4424997,91.7366663,bridge,,A,955,1000434,bridge 213
N1,22.4349719,91.7396941,link,,,1092,1000435,link 218
N1,22.4333049,91.7403608,bridge,,A,311,1000436,bridge 214
N1,22.4320271,91.7409441,link,,,311,1000437,link 219
N1,22.4307493,91.7415274,bridge,,A,491,1000438,bridge 215
